chain,token,tx_hash,block_or_slot,timestamp,datetime_utc,amount,sender_wallet,receiver_wallet
ethereum,USDT,0x2f1273b24f898157d69ae002e7b388e9e7643ba839e83d9d1be70a1c76b7454a,25333538,0,,9031.31,0x4b23876b5f7d79f84a8474a9d80ff0b2da9480da,0x87c3816fd357851151d651ea790657c1ef7eb066
ethereum,USDC,0x8408d314fabb0b5fbe33b6ef3758c1b973ecf3df69fc0ea3b8208d7e29580c2b,25333153,0,,9998.80,0x7ff8bbf9c8ab106db589e7863fb100525f61cce5,0xa89d4660bf6968132797647feb5ec6e4aeca5861
ethereum,USDC,0xee731b123245e1039c1eb699f14aa20334aef22c7310052e9a6abf0b6a24e672,25333578,0,,9266.08,0x5f7a4c11bde4f218f0025ef444c369d838ffa2ad,0x41dee1855293e4450cd67459047f372d4d818143
ethereum,USDC,0x90f96f75f82471ece727a4783a9b196ff003cfdf7b7f8448439e631d9a3a52a1,25333298,0,,9254.81,0x818a75e6d48a63536518c46a3cd0a8ddc2225617,0xc9b768f9a8b7aa04edd173934dce6c85f933d330
ethereum,USDC,0x1bdba549117a5e8d8651e0770607fce84e60448c5248919de30a611c97d8a558,25333352,0,,9968.51,0xdcc912df48427cd02e6c10527311eb6c6ab89878,0x4f9b267f407d55542d5d8301b8fd04469f9bc9fa
ethereum,USDT,0x4aa97424c0e1e6980c7344bf1e6340f915ddc551a790eb2847df85fb8263332c,25333376,0,,9313.53,0x3f79071b813e22beb1cb7114fb9872db1887f4b4,0x63d1a4892538cdceb414a44bb18c41e670469a1d
ethereum,USDT,0xb618d79f20054cfe0207aa7df9913ff82a64d793727fbc694badf28661ff270d,25333589,0,,9999.99,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0xe4d5ed20d269ca01a39168121d3babf279579956
ethereum,USDT,0x913a352824fdb32aa213ba4f2cf2cc44e86f54449c8544ac433f24c12b19b7d7,25333588,0,,9999.99,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0xe4d5ed20d269ca01a39168121d3babf279579956
ethereum,USDT,0xde7c4ea933e18f74418cfcb91f601872964a2039a8554b4a76f46f7b913eb010,25333620,0,,9969.60,0x6de7f839ac2c7db82bd16165d7cbc2c8991695dd,0x559432e18b281731c054cd703d4b49872be4ed53
ethereum,USDT,0x1f2442b5a654bbf8a1b97a495ad12aa37bd9836ef90606b8a455c6d3914e9c5c,25333618,0,,9969.60,0xb7abd2a576bab5ee813c79c414b67ab4ccd4babd,0x6de7f839ac2c7db82bd16165d7cbc2c8991695dd
ethereum,USDC,0xfc1f50b2ae16d49eabb8dee6796d521fc8c59c771dd6d6e66beff123f102c383,25333081,0,,9999.40,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,0xd052fd3f2a18ba68a6e4922358b789c90f98cd2d
ethereum,USDT,0x17bc5136455fd041c1c6cb6ecf81f754ef7165b581994c0efb2876c7c5fa51a6,25333513,0,,9031.31,0x4b23876b5f7d79f84a8474a9d80ff0b2da9480da,0xcc2f0c297e3b057a9e4a15a73dd01fa1f7a43cef
ethereum,USDT,0x28af2c156f63847e82b2a8cc34ca8413e832fa296fec7e09b32972ee69b4c45e,25333259,0,,8365.69,0x6e801eab6aed05ffcaa3f597b7ec5b518602f8a6,0x4ce68441cb0bf6fa1d7c8f60da7377a3fba9bd11
ethereum,USDC,0xbd74a7f5089869329dfa67e76858c7c0855e9facebd6e4ca80176fe14080f467,25333323,0,,8166.70,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0x4c2c0f0bb2631b02ac9299c59690914ee7a200b8
ethereum,USDT,0x4f8557aae1137d98b588abb857d72ccc30f3a80fb17a0c4cabbc46d5f65c2a51,25333577,0,,8320.91,0xd97caea2e96bf047bfb675bbaa6e61410d64ac40,0x77a5cb63b0dd29c50aa26da375e022f93cb7ca45
ethereum,USDT,0x74e1add2fae19794a2f847ce385d2fc10803d92075d638d763dafb99dbad7f01,25333633,0,,8999.98,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0xa97b197ba266fce09b004bc8884c1aef5d30b983
ethereum,USDT,0x695fadc7c7e076444ceecfe4781bd629afdaa0144fbae27df1c6852f6f4fbf09,25333071,0,,8223.10,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0x119affc855d9b14e8ce5c34aa74a2f76439d3220
ethereum,USDT,0x0c68205259f146578bf1a30e0c1d4918de568d3871b7a75526ba70c33d916cb5,25333159,0,,8998.40,0x18e296053cbdf986196903e889b7dca7a73882f6,0xae306802cceddb38e4cf1e2fa545a6759b42db1e
ethereum,USDT,0x732d5fda3986638c367fc9f9d3526ef09ddb20b224aa58c2ee01456b911e7794,25333579,0,,8320.91,0x77a5cb63b0dd29c50aa26da375e022f93cb7ca45,0x559432e18b281731c054cd703d4b49872be4ed53
ethereum,USDT,0xbf13ccddc328e67c293257f9c2c0aad94b3bae24fce181ba2c866b87cc3dd079,25333106,0,,8223.10,0x119affc855d9b14e8ce5c34aa74a2f76439d3220,0xaa8ba7d4611437141192e7ceced531bc0a133efb
ethereum,USDT,0xa5bed54e746c97d4ff06aadf559ed6ce02fe4e9c7570e3eb6ef82fca4c0b3ef9,25333362,0,,8699.84,0x5928cf7aebb5383c1e5fb1ca4aa51d9810fadf80,0xaa8ba7d4611437141192e7ceced531bc0a133efb
ethereum,USDT,0xdc452c3c1a8cdeb79880c9c6b9e6e7a22f9ab6a4e7cb548136a30d5e77d815a1,25333432,0,,8437.50,0x71d5dcd76fb9ca8fe92b4952f13eaad149a955e0,0x4f493b7de8aac7d55f71853688b1f7c8f0243c85
ethereum,USDT,0xd2e6ed18deb59ff9bc6feb185c1e575921c841e06ac587994de9cd1240fe4f8e,25333621,0,,8830.24,0x76084300abe48baf8a00d90000e000a6530000c2,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
ethereum,USDC,0x0ec10411ae921b407e79ef70e2eef6d774351e9d7ef12b9561b100f8158b68ba,25333727,0,,7563.75,0x0510b1a8b756836e0563358737d445aa8589cfe7,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43
ethereum,USDT,0x39c1f672fac7f8458b14b8458070ca7e0263b168d2deaf90f8ce536a565299b3,25333142,0,,7499.98,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0xc790df394c14931c7e2162ea0a6bfa2b6c31e1ee
ethereum,USDT,0x4f2c8b673ae79dc8ce8355fe356dd1321350445f0caad12476dd35c2f03f8e0c,25333581,0,,7320.49,0xa3d6248a9908af546adb5e50e545590f87b56d2b,0xf56e7fb57ecb2764898965e579ee1591ab629935
ethereum,USDC,0x40a281d920058b5946efe379f03b4250a17de99e08ff1a77a7535757201e1409,25333145,0,,7625.22,0x260b364fe0d3d37e6fd3cda0fa50926a06c54cea,0x9c2d7cca1d1023b2038d91196ea420d731226f73
ethereum,USDC,0x68ea326700d65febd256aac4cde07e9552629377c1d05ba8ef7038f376d588aa,25333397,0,,7526.31,0x9a5b33bd11329116a55f764c604a5152ee8ca292,0x36364acc7b9c67692ca215af09a41cbd10439511
